Archivo,Algoritmo,Peso,Beneficio,Items,Tiempo (s),Estado
Mochila Apretada 10 Items,dp,258485,137932,"2 ",0.0432715,OK
Mochila Apretada 20 Items,dp,770684,401929,"14 5 ",0.0605176,OK
Mochila Apretada 30 Items,dp,804907,419256,"20 6 ",0.0937714,OK
Mochila Apretada 40 Items,dp,944337,495245,"38 16 2 ",0.101894,OK
Mochila Apretada 50 Items,dp,997512,522727,"12 7 2 ",0.119355,OK
Mochila Apretada 60 Items,dp,943538,486124,"55 51 12 ",0.136098,OK
Mochila Apretada 70 Items,dp,923206,475839,"58 9 ",0.214,OK
Mochila Apretada 80 Items,dp,999092,510055,"50 15 14 ",0.190205,OK
